player,year_min,height,weight
Nikola Pekovic,2011,6-11,307
Jake Pelkington,1949,6-6,220
Sam Pellom,1980,6-9,225
Mike Penberthy,2001,6-3,185
Jerry Pender,1974,6-2,185
Desmond Penigar,2004,6-7,245
Kirk Penney,2004,6-5,220
Mike Peplowski,1994,6-10,270
Will Perdue,1989,7-0,240
Kendrick Perkins,2004,6-10,270
Sam Perkins,1985,6-9,235
Warren Perkins,1950,6-3,190
Kosta Perovic,2008,7-2,240
London Perrantes,2018,6-2,200
Aulcie Perry,1975,6-10,210
Curtis Perry,1971,6-7,220
Elliot Perry,1992,6-0,150
Ron Perry,1968,6-3,190
Tim Perry,1989,6-9,200
Chuck Person,1987,6-8,220
Wesley Person,1995,6-6,195
Alec Peters,2018,6-9,232
Jim Petersen,1985,6-10,235
Loy Petersen,1969,6-5,205
Bob Peterson,1954,6-5,210
Ed Peterson,1950,6-9,220
Mel Peterson,1964,6-4,185
Morris Peterson,2001,6-7,218
Geoff Petrie,1971,6-4,190
Johan Petro,2006,7-0,247
Drazen Petrovic,1990,6-5,195
Richard Petruska,1994,6-10,260
Bob Pettit,1955,6-9,205
Jerry Pettway,1968,6-3,185
Roger Phegley,1979,6-6,205
Jack Phelan,1950,6-5,195
James Phelan,1954,6-1,175
Derrick Phelps,1995,6-4,181
Michael Phelps,1986,6-4,180
Andy Phillip,1948,6-2,195
Eddie Phillips,1983,6-7,225
Gary Phillips,1962,6-3,189
Gene Phillips,1972,6-4,175
Bobby Phills,1992,6-5,210
Eric Piatkowski,1995,6-7,215
Walter Piatkowski,1969,6-8,220
Paul Pierce,1999,6-7,235
Ricky Pierce,1983,6-4,205
Stan Pietkiewicz,1979,6-5,200
Mickael Pietrus,2004,6-6,215
John Pilch,1952,6-3,185
Ed Pinckney,1986,6-9,195
Kevinn Pinkney,2007,6-10,245
John Pinone,1984,6-8,230
Theo Pinson,2019,6-6,218
Dave Piontek,1957,6-6,230
Tom Piotrowski,1984,7-1,240
Scottie Pippen,1988,6-8,210
Charles Pittman,1983,6-8,220
Dexter Pittman,2011,6-11,308
Zoran Planinic,2004,6-7,195
Tibor Pleiss,2016,7-3,256
Marshall Plumlee,2017,7-0,250
Mason Plumlee,2014,6-11,235
Miles Plumlee,2013,6-11,249
Gary Plummer,1985,6-9,215
Pavel Podkolzin,2005,7-5,260
Jakob Poeltl,2017,7-0,230
Dwayne Polee,1987,6-5,180
Jim Pollard,1949,6-4,185
Scot Pollard,1998,6-11,265
Ralph Polson,1953,6-7,200
Olden Polynice,1988,6-11,220
Cliff Pondexter,1976,6-9,233
Quincy Pondexter,2011,6-7,230
David Pope,1985,6-7,220
Mark Pope,1998,6-10,235
Dave Popson,1989,6-10,220
Ben Poquette,1978,6-9,235
Chris Porter,2001,6-7,218
Howard Porter,1972,6-8,220
Kevin Porter,1973,6-0,170
Otto Porter,2014,6-8,198
Terry Porter,1986,6-3,195
Willie Porter,1968,6-7,205
Bobby Portis,2016,6-11,250
Bob Portman,1970,6-5,200
Kristaps Porzingis,2016,7-3,240
James Posey,2000,6-8,215
Lavor Postell,2001,6-5,215
John Postley,1968,6-5,220
Vitaly Potapenko,1997,6-10,280
Leon Powe,2007,6-8,240
Cincinnatus Powell,1968,6-7,220
Dwight Powell,2015,6-11,240
Josh Powell,2006,6-9,225
Kasib Powell,2008,6-7,215
Norman Powell,2016,6-4,215
Roger Powell,2007,6-6,235
Alex Poythress,2017,6-9,235
Marlbert Pradd,1968,6-3,170
Mike Pratt,1971,6-4,195
Paul Pressey,1983,6-5,185
Phil Pressey,2014,5-11,175
Dominic Pressley,1989,6-2,170
Harold Pressley,1987,6-7,210
Stephen Previs,1973,6-3,183
A.J. Price,2010,6-2,181
Brent Price,1993,6-1,165
Jim Price,1973,6-3,195
Mark Price,1987,6-0,170
Mike Price,1971,6-3,200
Ronnie Price,2006,6-2,190
Tony Price,1981,6-6,190
Bob Priddy,1953,6-3,190
Pablo Prigioni,2013,6-3,185
Tayshaun Prince,2003,6-9,212
John Pritchard,1950,6-9,220
Kevin Pritchard,1991,6-3,180
Laron Profit,2000,6-5,204
Gabe Pruitt,2008,6-4,170
Joel Przybilla,2001,7-1,255
Les Pugh,1949,6-7,190
Roy Pugh,1949,6-6,210
Anthony Pullard,1993,6-10,245
Jacob Pullen,2018,6-1,200
Rodney Purvis,2018,6-4,205
Don Putman,1947,6-1,170
Zhou Qi,2018,7-1,210
Tim Quarterman,2017,6-6,195
Bob Quick,1969,6-5,215
Chris Quinn,2007,6-2,185
Brian Quinnett,1990,6-8,235
Ivan Rabb,2018,6-10,220
Luther Rackley,1970,6-10,220
Howie Rader,1949,6-1,190
Mark Radford,1982,6-4,190
Wayne Radford,1979,6-3,205
Dino Radja,1994,6-11,225
Vladimir Radmanovic,2002,6-10,227
Aleksandar Radojevic,2000,7-3,250
Frank Radovich,1962,6-8,235
Moe Radovich,1953,6-0,160
Miroslav Raduljica,2014,7-0,250
Ray Radziszewski,1958,6-5,210
Ray Ragelis,1952,6-4,205
Sherwin Raiken,1953,6-2,185
Ed Rains,1982,6-7,190
Igor Rakocevic,2003,6-3,183
Kurt Rambis,1982,6-8,213
Peter John Ramos,2005,7-3,275
Cal Ramsey,1960,6-4,200
Frank Ramsey,1955,6-3,190
Ray Ramsey,1949,6-2,165
Mark Randall,1992,6-8,235
Chasson Randle,2017,6-2,185
Julius Randle,2015,6-9,250
Anthony Randolph,2009,6-10,205
Shavlik Randolph,2006,6-10,240
Zach Randolph,2002,6-9,250
Wally Rank,1981,6-6,220
Kelvin Ransey,1981,6-1,170
Sam Ranzino,1952,6-1,185
Bobby Rascoe,1968,6-4,205
Blair Rasmussen,1986,7-0,250
Xavier Rathan-Mayes,2018,6-4,208
George Ratkovicz,1950,6-6,220
Ed Ratleff,1974,6-6,195
Mike Ratliff,1973,6-10,230
Theo Ratliff,1996,6-10,225
Andy Rautins,2011,6-4,190
Leo Rautins,1984,6-8,215
Allan Ray,2007,6-2,190
Clifford Ray,1972,6-9,230
Don Ray,1950,6-5,190
James Ray,1981,6-8,215
Jim Ray,1957,6-1,180
Jimmy Rayl,1968,6-2,175
Craig Raymond,1969,6-11,235
Connie Rea,1954,6-3,175
Joe Reaves,1974,6-5,210
Zeljko Rebraca,2002,7-0,257
Eldridge Recasner,1995,6-3,190
Michael Redd,2001,6-6,220
Frank Reddout,1954,6-5,195
J.J. Redick,2007,6-4,200
Marlon Redmond,1979,6-6,188
Davon Reed,2018,6-5,208
Hub Reed,1959,6-9,215
Justin Reed,2005,6-8,240
Ron Reed,1966,6-5,205
Willie Reed,2016,6-10,220
Willis Reed,1965,6-9,235
Bryant Reeves,1996,7-0,275
Khalid Reeves,1995,6-3,199
Richie Regan,1956,6-2,180
Don Rehfeldt,1951,6-7,210
Billy Reid,1981,6-5,190
Don Reid,1996,6-8,250
J.R. Reid,1990,6-9,247
Jim Reid,1968,6-6,210
Robert Reid,1978,6-8,205
Ryan Reid,2012,6-8,232
Jared Reiner,2005,6-11,255
Chick Reiser,1948,5-11,165
Richard Rellford,1988,6-6,230
Terrence Rencher,1996,6-3,185
John Rennicke,1952,6-2,185
Bob Rensberger,1947,6-2,170
Efthimi Rentzias,2003,6-11,250
Shawn Respert,1996,6-1,195
Kevin Restani,1975,6-9,225
George Reynolds,1970,6-4,195
Jerry Reynolds,1986,6-8,200
Kendall Rhine,1968,6-10,230
Gene Rhodes,1953,6-1,170
Rodrick Rhodes,1998,6-6,225
Glen Rice,1990,6-7,215
Glen Rice,2014,6-6,206
Chris Richard,2008,6-9,270
Clint Richardson,1980,6-3,195
Jason Richardson,2002,6-6,220
Jeremy Richardson,2007,6-6,185
Josh Richardson,2016,6-6,200
Malachi Richardson,2017,6-6,205
Micheal Ray Richardson,1979,6-5,189
Norm Richardson,2002,6-5,190
Pooh Richardson,1990,6-1,180
Quentin Richardson,2001,6-6,223
Mitch Richmond,1989,6-5,215
John Richter,1960,6-9,225
Dick Ricketts,1956,6-7,215
Isaiah Rider,1994,6-5,215
Jackie Ridgle,1972,6-4,195
Luke Ridnour,2004,6-2,175
Mel Riebe,1947,5-11,180
Bob Riedy,1968,6-6,215
Jim Riffey,1951,6-4,200
Antoine Rigaudeau,2003,6-7,210
Tom Riker,1973,6-10,225
Bob Riley,1971,6-9,235
Eric Riley,1994,7-0,245
Pat Riley,1968,6-4,205
Ron Riley,1973,6-8,195
Rich Rinaldi,1972,6-3,195
Mike Riordan,1969,6-4,200
Arnie Risen,1949,6-9,200
Tex Ritter,1949,6-2,185
Ramon Rivas,1989,6-10,260
Austin Rivers,2013,6-4,200
David Rivers,1989,6-0,170
Doc Rivers,1984,6-4,185
Lee Robbins,1948,6-3,175
Red Robbins,1968,6-8,190
Andre Roberson,2014,6-7,210
Anthony Roberson,2006,6-2,180
Rick Roberson,1970,6-9,231
Terrance Roberson,2001,6-7,215
Anthony Roberts,1978,6-5,185
Bill Roberts,1949,6-9,210
Brian Roberts,2013,6-1,173
Fred Roberts,1984,6-10,218
Joe Roberts,1961,6-6,214
Lawrence Roberts,2006,6-9,240
Marv Roberts,1972,6-8,200
Stanley Roberts,1992,7-0,285
Alvin Robertson,1985,6-3,185
Oscar Robertson,1961,6-5,205
Ryan Robertson,2000,6-5,190
Tony Robertson,1978,6-4,195
Rick Robey,1979,6-11,230
Bernard Robinson,2005,6-6,210
Chris Robinson,1997,6-5,200
Cliff Robinson,1980,6-9,220
Clifford Robinson,1990,6-10,225
David Robinson,1990,7-1,235
Devin Robinson,2018,6-8,200
Duncan Robinson,2019,6-8,210
Eddie Robinson,2000,6-8,210
Flynn Robinson,1967,6-1,185
Glenn Robinson,1995,6-7,225
Glenn Robinson,2015,6-6,222
Jackie Robinson,1979,6-6,210
Jamal Robinson,2001,6-7,212
James Robinson,1994,6-2,180
Jerome Robinson,2019,6-5,190
Larry Robinson,1991,6-3,180
Mitchell Robinson,2019,7-1,240
Nate Robinson,2006,5-9,180
Oliver Robinson,1983,6-4,180
Ronnie Robinson,1974,6-8,200
Rumeal Robinson,1991,6-2,195
Samuel Robinson,1971,6-7,190
Thomas Robinson,2013,6-10,237
Truck Robinson,1975,6-7,225
Wayne Robinson,1981,6-8,217
Wilbert Robinson,1974,6-2,175
Bill Robinzine,1976,6-7,230
Dave Robisch,1972,6-10,235
Red Rocha,1948,6-9,185
John Roche,1972,6-3,170
Gene Rock,1948,5-9,155
Jack Rocker,1948,6-5,185
Guy Rodgers,1959,6-0,185
Dennis Rodman,1987,6-7,210
Sergio Rodriguez,2007,6-3,176
Lou Roe,1996,6-7,220
Carlos Rogers,1995,6-11,220
Harry Rogers,1976,6-7,195
Johnny Rogers,1987,6-10,225
Marshall Rogers,1977,6-1,190
Rodney Rogers,1994,6-7,235
Roy Rogers,1997,6-10,235
Willie Rogers,1969,6-3,185
Al Roges,1954,6-4,195
Ken Rohloff,1964,6-0,195
Kenny Rollins,1949,6-0,168
Phil Rollins,1959,6-2,185
Tree Rollins,1978,7-1,235
Lorenzo Romar,1981,6-1,175
Rajon Rondo,2007,6-1,186
Jerry Rook,1970,6-5,219
Sean Rooks,1993,6-10,250
Derrick Rose,2009,6-3,200
Jalen Rose,1995,6-8,210
Malik Rose,1997,6-7,250
Rob Rose,1989,6-5,180
Petey Rosenberg,1947,5-10,165
Lennie Rosenbluth,1958,6-4,190
Hank Rosenstein,1947,6-4,185
Dick Rosenthal,1955,6-5,205
Quinton Ross,2005,6-6,195
Terrence Ross,2013,6-7,206
Doug Roth,1990,6-11,255
Scott Roth,1988,6-8,212
Irv Rothenberg,1947,6-7,215
Mickey Rottner,1947,5-10,180
Dan Roundfield,1976,6-8,205
Giff Roux,1947,6-5,195
Ron Rowan,1987,6-5,200
Curtis Rowe,1972,6-7,225
Jim Rowinski,1989,6-8,250
Derrick Rowland,1986,6-5,195
Brian Rowsom,1988,6-9,220
Brandon Roy,2007,6-6,215
Donald Royal,1990,6-8,210
Reggie Royals,1975,6-10,200
Bob Royer,1950,5-10,155
Clifford Rozier,1995,6-11,245
Terry Rozier,2016,6-1,190
Ricky Rubio,2012,6-4,190
Guy Rucker,2003,6-11,265
Delaney Rudd,1990,6-2,180
John Rudd,1979,6-7,230
Damjan Rudez,2015,6-10,228
John Rudometkin,1963,6-6,205
Michael Ruffin,2000,6-9,246
Trevor Ruffin,1995,6-1,185
Paul Ruffner,1971,6-10,225
Joe Ruklick,1960,6-9,220
Jeff Ruland,1982,6-10,240
Bob Rule,1968,6-9,220
Jerry Rullo,1947,5-10,165
Stefano Rusconi,1996,6-9,240
Brandon Rush,2009,6-6,220
Kareem Rush,2003,6-6,215
Bill Russell,1957,6-10,215
Bryon Russell,1994,6-7,225
Campy Russell,1975,6-8,215
Cazzie Russell,1967,6-5,218
D'Angelo Russell,2016,6-5,198
Frank Russell,1973,6-3,180
Pierre Russell,1972,6-4,190
Rubin Russell,1968,6-2,180
Walker Russell,1983,6-5,195
Walker Russell,2012,6-0,170
Arvydas Sabonis,1996,7-3,279
Domantas Sabonis,2017,6-11,240
Robert Sacre,2013,7-0,270
Ed Sadowski,1947,6-5,240
Kenny Sailors,1947,5-10,175
John Salley,1987,6-11,230
John Salmons,2003,6-7,210
Al Salvadori,1968,6-9,220
Kevin Salvadori,1997,7-0,231
Soumaila Samake,2001,7-0,230
Cheikh Samb,2008,7-1,245
JaKarr Sampson,2015,6-9,214
Jamal Sampson,2003,6-11,235
Ralph Sampson,1984,7-4,228
Samardo Samuels,2011,6-9,260
Pepe Sanchez,2001,6-4,195
Al Sanders,1973,6-7,240
Frankie Sanders,1979,6-6,200
Jeff Sanders,1990,6-8,225
Larry Sanders,2011,6-11,235
Melvin Sanders,2006,6-5,210
Mike Sanders,1983,6-6,210
Tom Sanders,1961,6-6,210
Ron Sanford,1972,6-9,215
Daniel Santiago,2001,7-1,256
Bob Santini,1956,6-5,190
Wayne Sappleton,1985,6-9,215
Dario Saric,2017,6-10,223
Jason Sasser,1997,6-7,225
Jeryl Sasser,2002,6-6,200
Tomas Satoransky,2017,6-7,210
Kenny Satterfield,2002,6-2,186
Pep Saul,1950,6-2,185
Woody Sauldsberry,1958,6-7,220
Glynn Saulters,1969,6-2,175
Fred Saunders,1975,6-7,210
Don Savage,1952,6-3,205
Predrag Savovic,2003,6-6,225
Alan Sawyer,1951,6-5,195
Brian Scalabrine,2002,6-9,241
Alex Scales,2006,6-4,185
DeWayne Scales,1981,6-8,208
Frank Schade,1973,6-1,170
Ben Schadler,1948,6-0,185
Herm Schaefer,1949,6-0,175
Billy Schaeffer,1974,6-5,200
Bob Schafer,1956,6-3,195
Ben Scharnus,1947,6-2,173
Marv Schatzman,1950,6-5,200
Fred Schaus,1950,6-5,205
Danny Schayes,1982,6-11,235
Dolph Schayes,1950,6-8,220
Ossie Schectman,1947,6-0,175
Steve Scheffler,1991,6-9,250
Tom Scheffler,1985,6-11,240
Dave Schellhase,1967,6-3,205
Luke Schenscher,2006,7-1,255
Herb Scherer,1951,6-9,212
Dwayne Schintzius,1991,7-1,260
Dale Schlueter,1969,6-10,225
Otto Schnellbacher,1949,6-4,185
Dick Schnittker,1951,6-5,200
Russ Schoene,1983,6-10,210
Dave Scholz,1970,6-8,220
Milt Schoon,1947,6-7,230
Detlef Schrempf,1986,6-9,214
Dennis Schroder,2014,6-1,172
Howie Schultz,1950,6-6,200
Dick Schulz,1947,6-2,192
Roger Schurig,1968,6-3,185
John Schweitz,1985,6-6,210
Luis Scola,2008,6-9,240
Fred Scolari,1947,5-10,180
Alvin Scott,1978,6-7,185
Brent Scott,1997,6-10,250
Byron Scott,1984,6-3,195
Charlie Scott,1971,6-5,175
Dennis Scott,1991,6-8,229
James Scott,1997,6-6,180
Mike Scott,2013,6-8,237
Ray Scott,1962,6-9,215
Shawnelle Scott,1997,6-10,250
Willie Scott,1970,6-5,210
Paul Scranton,1968,6-5,230
Carey Scurry,1986,6-7,188
Bruce Seals,1974,6-8,210
Shea Seals,1998,6-5,210
Malik Sealy,1993,6-8,190
Ed Searcy,1976,6-6,210
Kenny Sears,1956,6-9,198
Wayne See,1950,6-3,190
Thabo Sefolosha,2007,6-7,220
Rony Seikaly,1989,6-11,230
Glen Selbo,1950,6-3,196
Josh Selby,2012,6-2,183
Wayne Selden,2017,6-5,230
Brad Sellers,1987,7-0,210
Phil Sellers,1977,6-4,195
Rollie Seltz,1950,5-10,165
Lester Selvage,1968,6-1,175
Frank Selvy,1955,6-3,180
Jim Seminoff,1947,6-2,190
Mouhamed Sene,2007,6-11,230
George Senesky,1947,6-2,179
Kevin Seraphin,2011,6-9,285
Ansu Sesay,2002,6-9,225
Ramon Sessions,2008,6-3,190
Ha Seung-Jin,2005,7-3,305
Tom Sewell,1985,6-5,185
Collin Sexton,2019,6-2,190
Paul Seymour,1948,6-1,180
Nick Shaback,1947,5-11,180
Lynn Shackelford,1970,6-5,190
Charles Shackleford,1989,6-10,225
Carl Shaeffer,1950,6-3,185
Lee Shaffer,1962,6-7,220
Mustafa Shakur,2011,6-3,190
Landry Shamet,2019,6-5,188
God Shammgod,1998,6-0,169
Earl Shannon,1947,5-11,170
Howie Shannon,1949,6-2,175
Chuck Share,1952,6-11,235
Bill Sharman,1951,6-1,175
Walter Sharpe,2009,6-9,245
John Shasky,1989,6-11,235
Ron Shavlik,1957,6-8,200
Brian Shaw,1989,6-6,190
Casey Shaw,1999,6-11,260
Bob Shea,1947,6-2,194
Fred Sheffield,1947,6-2,165
Craig Shelton,1981,6-7,210
Lonnie Shelton,1977,6-8,240
Tornike Shengelia,2013,6-9,217
Billy Shepherd,1973,5-10,160
Jeff Sheppard,1999,6-3,190
Steve Sheppard,1978,6-6,215
Ed Sherod,1983,6-2,170
Charley Shipp,1950,6-1,200
Paul Shirley,2003,6-10,230
Gene Short,1976,6-6,200
Purvis Short,1979,6-7,210
Dexter Shouse,1990,6-2,200
Dick Shrider,1949,6-2,190
Gene Shue,1955,6-2,170
John Shumate,1976,6-9,235
Iman Shumpert,2012,6-5,215
Alexey Shved,2013,6-6,190
Pascal Siakam,2017,6-9,230
Sam Sibert,1973,6-7,215
Mark Sibley,1974,6-2,175
Jerry Sichting,1981,6-1,168
Donald Sidle,1969,6-8,215
Larry Siegfried,1964,6-3,190
Ralph Siewert,1947,7-1,230
Jack Sikma,1978,6-11,230
James Silas,1973,6-1,180
Paul Silas,1965,6-7,220
Xavier Silas,2012,6-5,205
Garret Siler,2011,6-11,305
Mike Silliman,1971,6-6,225
Wayne Simien,2006,6-9,255
Ben Simmons,2018,6-10,230
Bobby Simmons,2002,6-7,210
Cedric Simmons,2007,6-9,235
Connie Simmons,1947,6-8,222
Grant Simmons,1968,6-3,190
Johnny Simmons,1947,6-1,184
Jonathon Simmons,2016,6-6,195
Kobi Simmons,2018,6-5,166
Lionel Simmons,1991,6-7,210
Miles Simon,1999,6-3,202
Walter Simon,1968,6-6,200
Anfernee Simons,2019,6-4,185
Dickey Simpkins,1995,6-9,248
Ralph Simpson,1971,6-5,200
Alvin Sims,1999,6-4,235
Bob Sims,1962,6-5,220
Courtney Sims,2008,6-10,245
Doug Sims,1969,6-7,195
Henry Sims,2013,6-10,248
Scott Sims,1978,6-1,170
Kyle Singler,2013,6-8,228
Sean Singletary,2009,6-0,185
Chris Singleton,2012,6-8,230
James Singleton,2006,6-8,216
McKinley Singleton,1987,6-5,175
Zeke Sinicola,1952,5-10,165
Charlie Sitton,1985,6-8,210
Peyton Siva,2014,6-0,185
Scott Skiles,1987,6-1,180
Al Skinner,1975,6-3,190
Brian Skinner,1999,6-9,255
Tal Skinner,1975,6-5,195
Whitey Skoog,1952,5-11,180
Jeff Slade,1963,6-6,220
Reggie Slater,1995,6-7,215
Jim Slaughter,1952,6-11,210
Jose Slaughter,1983,6-5,205
Tamar Slay,2003,6-8,215
Donald Sloan,2012,6-3,205
Jerry Sloan,1966,6-5,195
Uros Slokar,2007,6-10,238
Tom Sluby,1985,6-4,200
Keith Smart,1989,6-1,175
Marcus Smart,2015,6-4,220
Belus Smawley,1947,6-1,195
Jack Smiley,1949,6-3,190
Adrian Smith,1962,6-1,180
Al Smith,1972,6-1,185
Bill Smith,1962,6-5,190
Bingo Smith,1970,6-5,195
Bobby Smith,1960,6-4,190
Charles Smith,1989,6-10,230
Charles Smith,1990,6-1,160
Charles Smith,1998,6-4,194
Chris Smith,1993,6-3,190
Chris Smith,2014,6-2,200
Clinton Smith,1987,6-6,210
Craig Smith,2007,6-7,250
Deb Smith,1947,6-3,180
Dennis Smith,2018,6-3,195
Derek Smith,1983,6-6,205
Don Smith,1949,6-2,190
Don Smith,1975,6-0,160
Donta Smith,2005,6-7,215
Doug Smith,1992,6-10,220
Ed Smith,1954,6-6,180
Elmore Smith,1972,7-0,250
Garfield Smith,1971,6-9,235
Greg Smith,1969,6-5,195
Greg Smith,2012,6-10,250
Ish Smith,2011,6-0,175
J.R. Smith,2005,6-6,225
Jabari Smith,2001,6-11,250
Jason Smith,2008,7-0,240
Jerry Smith,2012,6-2,190
Jim Smith,1982,6-9,225
Joe Smith,1996,6-10,225
John Smith,1969,7-0,235
Josh Smith,2005,6-9,225
Keith Smith,1987,6-3,180
Ken Smith,1976,6-7,185
Kenny Smith,1988,6-3,170
LaBradford Smith,1992,6-3,200
Larry Smith,1981,6-8,215
Leon Smith,2002,6-10,235
Michael Smith,1990,6-10,225
Michael Smith,1995,6-8,230
Mike Smith,2001,6-8,195
Nolan Smith,2012,6-2,185
Otis Smith,1987,6-5,210
Pete Smith,1973,6-6,205
Phil Smith,1975,6-4,185
Randy Smith,1972,6-3,180
Reggie Smith,1993,6-10,240
Robert Smith,1978,5-11,165
Russ Smith,2015,6-0,165
Sam Smith,1968,6-7,230
Sam Smith,1979,6-4,200
Steve Smith,1992,6-7,200
Steven Smith,2007,6-8,235
Stevin Smith,1997,6-2,208
Theron Smith,2004,6-8,225
Tony Smith,1991,6-3,185
William Smith,1972,7-0,220
Willie Smith,1977,6-2,170
Rik Smits,1989,7-4,250
Mike Smrek,1986,7-0,250
Joe Smyth,1954,6-3,215
Tony Snell,2014,6-7,213
Eric Snow,1996,6-3,190
Dick Snyder,1967,6-5,207
Kirk Snyder,2005,6-6,225
Chips Sobek,1950,6-0,180
Ricky Sobers,1976,6-3,198
Ron Sobie,1957,6-3,185
Mike Sojourner,1975,6-9,225
Willie Sojourner,1972,6-8,225
Will Solomon,2002,6-1,185
Willie Somerset,1966,5-8,170
Darius Songaila,2004,6-9,248
Dave Sorenson,1971,6-8,225
James Southerland,2014,6-8,215
Gino Sovran,1947,6-2,175
Pape Sow,2005,6-10,250
Ken Spain,1971,6-9,225
Ray Spalding,2019,6-10,215
Jim Spanarkel,1980,6-5,190
Vassilis Spanoulis,2007,6-4,195
Daniel Sparks,1969,6-8,200
Guy Sparrow,1958,6-6,218
Rory Sparrow,1981,6-2,175
Odie Spears,1949,6-5,205
Art Spector,1947,6-4,200
Marreese Speights,2009,6-10,255
Omari Spellman,2019,6-9,245
Andre Spencer,1993,6-6,210
Elmore Spencer,1993,7-0,270
Felton Spencer,1991,7-0,265
Lou Spicer,1947,6-2,195
Craig Spitzer,1968,7-0,225
Tiago Splitter,2011,6-11,245
Art Spoelstra,1955,6-9,220
Bruce Spraggins,1968,6-5,188
Latrell Sprewell,1993,6-5,190
Larry Spriggs,1982,6-7,230
Jim Springer,1949,6-9,235
Jim Spruill,1949,6-2,225
Ryan Stack,1999,6-11,215
Jerry Stackhouse,1996,6-6,218
Kevin Stacom,1975,6-3,185
Erv Staggs,1970,6-6,195
Bud Stallworth,1973,6-5,190
Dave Stallworth,1966,6-7,200
Ed Stanczak,1950,6-1,185
Terence Stansbury,1985,6-5,170
John Starks,1989,6-3,180
Keith Starr,1977,6-6,190
Nik Stauskas,2015,6-6,205
Larry Staverman,1959,6-7,205
Larry Steele,1972,6-5,180
Matt Steigenga,1997,6-7,225
Vladimir Stepania,1999,7-0,236
D.J. Stephens,2014,6-5,188
Everette Stephens,1989,6-2,175
Jack Stephens,1956,6-3,185
Joe Stephens,1997,6-7,210
Lance Stephenson,2011,6-6,230
Alex Stepheson,2016,6-10,270
Brook Steppe,1983,6-5,195
Barry Stevens,1993,6-5,195
Wayne Stevens,1960,6-3,185
DeShawn Stevenson,2001,6-5,210
Dennis Stewart,1971,6-6,220
Kebu Stewart,1998,6-8,239
Larry Stewart,1992,6-8,220
Michael Stewart,1998,6-10,230
Norm Stewart,1957,6-5,205
Greg Stiemsma,2012,6-11,260
Steve Stipanovich,1984,6-11,245
Bryant Stith,1993,6-5,208
Sam Stith,1962,6-2,185
Tom Stith,1963,6-5,210
Alex Stivrins,1986,6-8,220
David Stockton,2015,5-11,165
John Stockton,1985,6-1,170
Peja Stojakovic,1999,6-9,220
Ed Stokes,1998,7-0,264
Greg Stokes,1986,6-10,220
Jarnell Stokes,2015,6-9,263
Maurice Stokes,1956,6-7,232
Art Stolkey,1947,6-1,180
Randy Stoll,1968,6-7,235
Diamond Stone,2017,6-11,255
George Stone,1969,6-7,195
Julyan Stone,2012,6-6,200
Awvee Storey,2005,6-6,222
Damon Stoudamire,1996,5-10,171
Salim Stoudamire,2006,6-1,179
Amar'e Stoudemire,2003,6-10,245
Paul Stovall,1973,6-4,215
D.J. Strawberry,2008,6-5,201
Joe Strawder,1966,6-10,235
Bill Stricker,1971,6-9,210
Erick Strickland,1997,6-3,210
Mark Strickland,1995,6-9,210
Rod Strickland,1989,6-3,175
Roger Strickland,1964,6-5,200
John Stroeder,1988,6-10,260
Derek Strong,1992,6-8,220
Lamont Strothers,1992,6-4,190
John Stroud,1981,6-7,215
Red Stroud,1968,6-0,160
Rodney Stuckey,2008,6-5,210
Gene Stump,1948,6-2,185
Stan Stutz,1947,5-10,170
Gary Suiter,1971,6-9,225
Jared Sullinger,2013,6-9,260
DaJuan Summers,2010,6-8,230
Edmond Sumner,2018,6-6,176
Barry Sumpter,1989,6-11,215
Don Sunderlage,1954,6-1,180
Bruno Sundov,1999,7-2,220
Jon Sundvold,1984,6-2,170
Bob Sura,1996,6-5,200
Dick Surhoff,1953,6-4,210
George Sutor,1968,6-8,235
Dane Suttle,1984,6-3,190
Greg Sutton,1992,6-2,170
Keith Swagerty,1969,6-7,235
Bennie Swain,1959,6-8,220
Caleb Swanigan,2018,6-9,250
Norm Swanson,1954,6-6,210
Dan Swartz,1963,6-4,215
Mike Sweetney,2004,6-8,275
Robert Swift,2005,7-0,245
Skeeter Swift,1970,6-3,204
Stromile Swift,2001,6-9,225
Aaron Swinson,1995,6-5,230
Pape Sy,2011,6-7,225
Buck Sydnor,1947,5-10,175
Larry Sykes,1996,6-9,255
Brett Szabo,1997,6-11,230
Wally Szczerbiak,2000,6-7,244
Walt Szczerbiak,1972,6-6,210
Zan Tabak,1995,7-0,245
Yuta Tabuse,2005,5-9,165
Chris Taft,2006,6-10,260
Sid Tanenbaum,1948,6-0,160
Dragan Tarlac,2001,6-10,260
Roy Tarpley,1987,6-11,230
Levern Tart,1968,6-2,195
Earl Tatum,1977,6-5,185
Jayson Tatum,2018,6-8,208
Edy Tavares,2016,7-3,260
Anthony Taylor,1989,6-4,175
Brian Taylor,1973,6-2,185
Donell Taylor,2006,6-6,180
Fatty Taylor,1970,6-0,175
Fred Taylor,1971,6-5,180
Isaiah Taylor,2017,6-3,170
Jay Taylor,1990,6-3,190
Jeff Taylor,1983,6-4,175
Jeffery Taylor,2013,6-7,225
Jermaine Taylor,2010,6-4,210
Johnny Taylor,1998,6-9,220
Leonard Taylor,1990,6-8,220
Maurice Taylor,1998,6-9,260
Mike Taylor,2009,6-2,165
Oliver Taylor,1971,6-2,194
Ronald Taylor,1970,7-1,265
Tyshawn Taylor,2013,6-3,185
Vince Taylor,1983,6-5,180
Terry Teagle,1983,6-5,195
