season,player,team,games_played,minutes_per_game
2007-2008,Carlos Boozer,UTA,81,34.9
2007-2008,Chris Bosh,TOR,67,36.2
2007-2008,Bruce Bowen,SAS,81,30.2
2007-2008,Ryan Bowen,NOP,53,12.4
2007-2008,Earl Boykins,CHA,36,16.0
2007-2008,Corey Brewer,MIN,79,22.8
2007-2008,Ronnie Brewer,UTA,76,27.5
2007-2008,Aaron Brooks,HOU,51,11.9
2007-2008,Devin Brown,CLE,78,22.6
2007-2008,Kwame Brown,MEM,38,18.8
2007-2008,Kobe Bryant,LAL,82,38.9
2007-2008,Greg Buckner,MIN,31,16.8
2007-2008,Caron Butler,WAS,58,39.9
2007-2008,Rasual Butler,NOP,51,17.2
2007-2008,Andrew Bynum,LAL,35,28.8
2007-2008,Jose Calderon,TOR,82,30.3
2007-2008,Marcus Camby,DEN,79,34.9
2007-2008,Rodney Carney,PHI,70,14.8
2007-2008,Matt Carroll,CHA,80,25.2
2007-2008,Anthony Carter,DEN,70,28.0
2007-2008,Vince Carter,NJN,76,38.9
2007-2008,Sam Cassell,BOS,55,23.2
2007-2008,Tyson Chandler,NOP,79,35.2
2007-2008,Wilson Chandler,NYK,35,19.6
2007-2008,Josh Childress,ATL,76,29.9
2007-2008,Jarron Collins,UTA,70,10.0
2007-2008,Jason Collins,MEM,74,15.8
2007-2008,Mardy Collins,NYK,46,13.8
2007-2008,Nick Collison,SEA,78,28.5
2007-2008,Mike Conley,MEM,53,26.1
2007-2008,Brian Cook,ORL,51,12.3
2007-2008,Daequan Cook,MIA,59,24.4
2007-2008,Jamal Crawford,NYK,80,39.9
2007-2008,Javaris Crittenton,MEM,50,13.6
2007-2008,Eddy Curry,NYK,59,25.9
2007-2008,Samuel Dalembert,PHI,82,33.2
2007-2008,Erick Dampier,DAL,72,24.4
2007-2008,Antonio Daniels,WAS,71,30.4
2007-2008,Marquis Daniels,IND,74,20.9
2007-2008,Baron Davis,GSW,82,39.0
2007-2008,Glen Davis,BOS,69,13.6
2007-2008,Ricky Davis,MIA,82,36.1
2007-2008,Carlos Delfino,TOR,82,23.5
2007-2008,Luol Deng,CHI,63,33.8
2007-2008,Boris Diaw,PHX,82,28.1
2007-2008,Yakhouba Diawara,DEN,54,10.0
2007-2008,Dan Dickau,LAC,67,15.5
2007-2008,Travis Diener,IND,66,20.5
2007-2008,DeSagana Diop,NJN,79,16.4
2007-2008,Juan Dixon,DET,53,12.6
2007-2008,Keyon Dooling,ORL,72,18.5
2007-2008,Quincy Douby,SAC,74,11.8
2007-2008,Jared Dudley,CHA,73,19.0
2007-2008,Chris Duhon,CHI,66,22.6
2007-2008,Tim Duncan,SAS,78,34.0
2007-2008,Mike Dunleavy,IND,82,36.0
2007-2008,Kevin Durant,SEA,80,34.6
2007-2008,Monta Ellis,GSW,81,37.9
2007-2008,Francisco Elson,SEA,63,12.9
2007-2008,Melvin Ely,NOP,52,11.9
2007-2008,Maurice Evans,ORL,75,22.9
2007-2008,Reggie Evans,PHI,81,23.2
2007-2008,Jordan Farmar,LAL,82,20.6
2007-2008,Raymond Felton,CHA,79,37.6
2007-2008,Michael Finley,SAS,82,26.9
2007-2008,Derek Fisher,LAL,82,27.4
2006-2007,Jacque Vaughn,SAS,64,11.9
2006-2007,Charlie Villanueva,MIL,39,25.2
2006-2007,Jake Voskuhl,CHA,73,14.3
2006-2007,Sasha Vujacic,LAL,73,12.8
2006-2007,Dwyane Wade,MIA,51,37.9
2006-2007,Antoine Walker,MIA,78,23.3
2006-2007,Ben Wallace,CHI,77,35.0
2006-2007,Gerald Wallace,CHA,72,36.7
2006-2007,Rasheed Wallace,DET,75,32.3
2006-2007,Luke Walton,LAL,60,33.0
2006-2007,Hakim Warrick,MEM,82,26.2
2006-2007,Earl Watson,SEA,77,27.9
2006-2007,Chris Webber,DET,61,29.8
2006-2007,Martell Webster,POR,82,21.5
2006-2007,Bonzi Wells,HOU,28,21.1
2006-2007,David West,NOP,52,36.5
2006-2007,Delonte West,BOS,69,32.2
2006-2007,Chris Wilcox,SEA,82,31.5
2006-2007,Damien Wilkins,SEA,82,24.8
2006-2007,Mike Wilks,SEA,47,11.4
2006-2007,Deron Williams,UTA,80,36.9
2006-2007,Jason Williams,MIA,61,30.6
2006-2007,Lou Williams,PHI,61,11.3
2006-2007,Marcus D. Williams,NJN,79,16.6
2006-2007,Marvin Williams,ATL,64,34.0
2006-2007,Mo Williams,MIL,68,36.3
2006-2007,Shawne Williams,IND,46,12.1
2006-2007,Shelden Williams,ATL,81,18.7
2006-2007,Corliss Williamson,SAC,68,19.7
2006-2007,Metta World Peace,SAC,70,37.7
2006-2007,Antoine Wright,NJN,63,18.1
2006-2007,Dorell Wright,MIA,66,19.6
2006-2007,Lorenzen Wright,ATL,67,15.5
2006-2007,Jeff McInnis,CHA,38,18.5
2006-2007,Keith McLeod,IND,48,15.0
2006-2007,Darko Milicic,ORL,80,23.9
2006-2007,Andre Miller,PHI,80,37.1
2006-2007,Brad Miller,SAC,63,28.3
2006-2007,Mike Miller,MEM,70,39.1
2006-2007,Paul Millsap,UTA,82,18.0
2006-2007,Yao Ming,HOU,48,33.8
2006-2007,Cuttino Mobley,LAC,78,36.4
2006-2007,Nazr Mohammed,DET,51,15.2
2006-2007,Mikki Moore,NJN,79,26.3
2006-2007,Adam Morrison,CHA,78,29.8
2006-2007,Alonzo Mourning,MIA,77,20.4
2006-2007,Troy Murphy,IND,68,27.2
2006-2007,Flip Murray,DET,69,21.4
2006-2007,Dikembe Mutombo,HOU,75,17.2
2006-2007,Bostjan Nachbar,NJN,76,20.2
2006-2007,Eduardo Najera,DEN,75,22.1
2006-2007,Steve Nash,PHX,76,35.3
2006-2007,Jameer Nelson,ORL,77,30.3
2006-2007,Maybyner Nene,DEN,64,26.8
2006-2007,Rasho Nesterovic,TOR,80,21.0
2006-2007,Andres Nocioni,CHI,53,26.5
2006-2007,David Noel,MIL,68,11.6
2006-2007,Dirk Nowitzki,DAL,78,36.2
2006-2007,Jermaine O'Neal,IND,69,35.6
2006-2007,Shaquille O'Neal,MIA,40,28.4
2006-2007,Fabricio Oberto,SAS,79,17.3
2006-2007,Lamar Odom,LAL,56,39.3
2006-2007,Emeka Okafor,CHA,67,34.8
2006-2007,Mehmet Okur,UTA,80,33.3
2006-2007,Kevin Ollie,PHI,53,17.3
2006-2007,Travis Outlaw,POR,67,22.9
2006-2007,Zaza Pachulia,ATL,72,28.1
2006-2007,Jannero Pargo,NOP,82,20.9
2006-2007,Anthony Parker,TOR,73,33.4
2006-2007,Smush Parker,LAL,82,30.0
2006-2007,Tony Parker,SAS,77,32.5
2006-2007,Ruben Patterson,MIL,81,31.0
2006-2007,Chris Paul,NOP,64,36.8
2006-2007,Sasha Pavlovic,CLE,67,22.9
2006-2007,Gary Payton,MIA,68,22.1
2006-2007,Kendrick Perkins,BOS,72,21.9
2006-2007,Morris Peterson,TOR,71,21.3
2006-2007,Johan Petro,SEA,81,18.7
2006-2007,Paul Pierce,BOS,47,37.0
2006-2007,Mickael Pietrus,GSW,72,26.9
2006-2007,James Posey,MIA,71,27.0
2006-2007,Leon Powe,BOS,63,11.4
2006-2007,Ronnie Price,SAC,58,9.7
2006-2007,Tayshaun Prince,DET,82,36.6
2006-2007,Joel Przybilla,POR,43,16.3
2006-2007,Vladimir Radmanovic,LAL,55,17.9
2006-2007,Zach Randolph,POR,68,35.7
2006-2007,Allan Ray,BOS,47,15.1
2006-2007,Michael Redd,MIL,53,38.5
2006-2007,J.J. Redick,ORL,42,14.8
2006-2007,Jason Richardson,GSW,51,32.8
2006-2007,Quentin Richardson,NYK,49,33.1
2006-2007,Luke Ridnour,SEA,71,29.5
2006-2007,Lawrence Roberts,MEM,54,17.9
2006-2007,Cliff Robinson,NJN,50,19.1
2006-2007,Nate Robinson,NYK,64,21.2
2006-2007,Sergio Rodriguez,POR,67,12.9
2006-2007,Rajon Rondo,BOS,78,23.5
2006-2007,Malik Rose,NYK,65,12.5
2006-2007,Quinton Ross,LAC,81,21.0
2006-2007,Brandon Roy,POR,57,35.3
2006-2007,John Salmons,SAC,79,27.0
2006-2007,Brian Scalabrine,BOS,54,19.0
2006-2007,Thabo Sefolosha,CHI,71,12.2
2006-2007,Cedric Simmons,NOP,43,12.4
2006-2007,Brian Skinner,MIL,67,22.7
2006-2007,Craig Smith,MIN,82,18.7
2006-2007,J.R. Smith,DEN,63,23.4
2006-2007,Joe Smith,PHI,65,23.1
2006-2007,Josh Smith,ATL,72,36.8
2006-2007,Eric Snow,CLE,82,23.5
2006-2007,Kirk Snyder,HOU,39,14.4
2006-2007,Darius Songaila,WAS,37,18.9
2006-2007,Jerry Stackhouse,DAL,67,24.1
2006-2007,DeShawn Stevenson,WAS,82,29.5
2006-2007,Damon Stoudamire,MEM,62,24.2
2006-2007,Salim Stoudamire,ATL,61,17.0
2006-2007,Amar'e Stoudemire,PHX,82,32.8
2006-2007,Stromile Swift,MEM,54,19.1
2006-2007,Wally Szczerbiak,BOS,32,28.1
2006-2007,Sebastian Telfair,BOS,78,20.2
2006-2007,Jason Terry,DAL,81,35.1
2006-2007,Etan Thomas,WAS,65,19.2
2006-2007,Kenny Thomas,SAC,62,22.8
2006-2007,Kurt Thomas,PHX,67,18.0
2006-2007,Tim Thomas,LAC,76,27.0
2006-2007,Tyrus Thomas,CHI,72,13.4
2006-2007,Jamaal Tinsley,IND,72,31.1
2006-2007,Ronny Turiaf,LAL,72,15.1
2006-2007,Hedo Turkoglu,ORL,73,31.1
2006-2007,Ime Udoka,POR,75,28.6
2006-2007,Beno Udrih,SAS,73,13.0
2006-2007,Anderson Varejao,CLE,81,23.9
2006-2007,Adonal Foyle,GSW,48,9.9
2006-2007,Steve Francis,NYK,44,28.1
2006-2007,Channing Frye,NYK,72,26.3
2006-2007,Dan Gadzuric,MIL,54,15.6
2006-2007,Jorge Garbajosa,TOR,67,28.5
2006-2007,Francisco Garcia,SAC,79,17.8
2006-2007,Kevin Garnett,MIN,76,39.4
2006-2007,Pau Gasol,MEM,59,36.1
2006-2007,Rudy Gay,MEM,78,27.0
2006-2007,Mickael Gelabale,SEA,70,17.7
2006-2007,Devean George,DAL,60,21.4
2006-2007,Daniel Gibson,CLE,60,16.5
2006-2007,Manu Ginobili,SAS,75,27.5
2006-2007,Gordan Giricek,UTA,61,19.5
2006-2007,Ryan Gomes,BOS,73,31.2
2006-2007,Drew Gooden,CLE,80,28.0
2006-2007,Ben Gordon,CHI,82,33.0
2006-2007,Joey Graham,TOR,79,16.7
2006-2007,Danny Granger,IND,82,34.0
2006-2007,Gerald Green,BOS,81,22.0
2006-2007,Willie Green,PHI,74,24.9
2006-2007,Adrian Griffin,CHI,54,10.8
2006-2007,Richard Hamilton,DET,75,36.8
2006-2007,Matt Harpring,UTA,77,25.5
2006-2007,Al Harrington,GSW,78,32.9
2006-2007,Junior Harrington,MEM,29,18.7
2006-2007,Devin Harris,DAL,80,26.0
2006-2007,Jason Hart,LAC,36,23.5
2006-2007,Udonis Haslem,MIA,79,31.4
2006-2007,Trenton Hassell,MIN,76,29.2
2006-2007,Chuck Hayes,HOU,78,22.0
2006-2007,Jarvis Hayes,WAS,81,20.1
2006-2007,Brendan Haywood,WAS,77,22.6
2006-2007,Luther Head,HOU,80,27.6
2006-2007,Walter Herrmann,CHA,48,19.5
2006-2007,Grant Hill,ORL,65,30.9
2006-2007,Kirk Hinrich,CHI,80,35.5
2006-2007,Robert Horry,SAS,68,16.5
2006-2007,Eddie House,NJN,56,16.9
2006-2007,Dwight Howard,ORL,82,36.9
2006-2007,Josh Howard,DAL,70,35.1
2006-2007,Juwan Howard,HOU,80,26.5
2006-2007,Troy Hudson,MIN,34,16.3
2006-2007,Larry Hughes,CLE,70,37.1
2006-2007,Kris Humphries,TOR,60,11.2
2006-2007,Lindsey Hunter,DET,52,14.3
2006-2007,Steven Hunter,PHI,70,22.9
2006-2007,Andre Iguodala,PHI,76,40.3
2006-2007,Zydrunas Ilgauskas,CLE,78,27.3
2006-2007,Ersan Ilyasova,MIL,66,14.7
2006-2007,Allen Iverson,DEN,65,42.5
2006-2007,Royal Ivey,ATL,53,10.2
2006-2007,Jarrett Jack,POR,79,33.6
2006-2007,Bobby Jackson,NOP,56,23.7
2006-2007,Marc Jackson,NOP,56,18.3
2006-2007,Stephen Jackson,GSW,75,33.0
2006-2007,LeBron James,CLE,78,40.9
2006-2007,Mike James,MIN,82,25.2
2006-2007,Antawn Jamison,WAS,70,38.0
2006-2007,Marko Jaric,MIN,70,22.2
2006-2007,Sarunas Jasikevicius,GSW,63,15.4
2006-2007,Al Jefferson,BOS,69,33.6
2006-2007,Richard Jefferson,NJN,55,35.6
2006-2007,Jared Jeffries,NYK,55,23.8
2006-2007,Alexander Johnson,MEM,59,12.8
2006-2007,Anthony Johnson,ATL,67,19.4
2006-2007,Joe Johnson,ATL,57,41.4
2006-2007,Linton Johnson,NOP,54,13.3
2006-2007,Dahntay Jones,MEM,78,21.4
2006-2007,Damon Jones,CLE,60,19.5
2006-2007,Eddie Jones,MIA,64,24.9
2006-2007,Fred Jones,POR,63,20.9
2006-2007,James Jones,PHX,76,18.1
2006-2007,Solomon Jones,ATL,58,11.5
2006-2007,Chris Kaman,LAC,75,29.0
2006-2007,Jason Kapono,MIA,67,26.4
2006-2007,Jason Kidd,NJN,80,36.7
2006-2007,Tarence Kinsey,MEM,48,20.1
2006-2007,Andrei Kirilenko,UTA,70,29.3
2006-2007,Linas Kleiza,DEN,79,18.8
2006-2007,Brevin Knight,CHA,45,28.3
2006-2007,Kyle Korver,PHI,74,30.9
2006-2007,Nenad Krstic,NJN,26,32.6
2006-2007,David Lee,NYK,58,29.8
2006-2007,Rashard Lewis,SEA,60,39.1
2006-2007,Shaun Livingston,LAC,54,29.8
2006-2007,Tyronn Lue,ATL,56,26.6
2006-2007,Corey Maggette,LAC,75,30.5
2006-2007,Jamaal Magloire,POR,81,21.0
2006-2007,Stephon Marbury,NYK,74,37.1
2006-2007,Shawn Marion,PHX,80,37.6
2006-2007,Donyell Marshall,CLE,81,16.8
2006-2007,Kevin Martin,SAC,80,35.2
2006-2007,Desmond Mason,NOP,75,34.3
2006-2007,Roger Mason,WAS,62,7.9
2006-2007,Jason Maxiell,DET,67,14.1
2006-2007,Sean May,CHA,35,23.9
2006-2007,Rashad McCants,MIN,37,15.0
2006-2007,Antonio McDyess,DET,82,21.1
2006-2007,Tracy McGrady,HOU,71,35.8
2006-2007,Shareef Abdur-Rahim,SAC,80,25.2
2006-2007,Hassan Adams,NJN,60,8.3
2006-2007,LaMarcus Aldridge,POR,63,22.1
2006-2007,Malik Allen,CHI,60,10.6
2006-2007,Ray Allen,SEA,55,40.3
2006-2007,Tony Allen,BOS,33,24.4
2006-2007,Rafer Alston,HOU,82,37.1
2006-2007,Derek Anderson,CHA,50,23.8
2006-2007,Carmelo Anthony,DEN,65,38.2
2006-2007,Gilbert Arenas,WAS,74,39.8
2006-2007,Trevor Ariza,ORL,57,22.4
2006-2007,Darrell Armstrong,IND,81,15.7
2006-2007,Hilton Armstrong,NOP,56,11.3
2006-2007,Carlos Arroyo,ORL,72,18.1
2006-2007,Chucky Atkins,MEM,75,27.5
2006-2007,Kelenna Azubuike,GSW,41,16.3
2006-2007,Renaldo Balkman,NYK,68,15.6
2006-2007,Marcus Banks,PHX,45,11.2
2006-2007,Leandro Barbosa,PHX,80,32.7
2006-2007,Andrea Bargnani,TOR,65,25.1
2006-2007,Matt Barnes,GSW,76,23.9
2006-2007,Brent Barry,SAS,75,21.7
2006-2007,Tony Battie,ORL,66,23.9
2006-2007,Shane Battier,HOU,82,36.4
2006-2007,Charlie Bell,MIL,82,34.7
2006-2007,Raja Bell,PHX,78,37.4
2006-2007,Mike Bibby,SAC,82,34.0
2006-2007,Andris Biedrins,GSW,82,29.0
2006-2007,Chauncey Billups,DET,70,36.2
2006-2007,Steve Blake,DEN,82,27.1
2006-2007,Andray Blatche,WAS,56,12.2
2006-2007,Mark Blount,MIN,82,31.0
2006-2007,Keith Bogans,ORL,59,16.8
2006-2007,Andrew Bogut,MIL,66,34.2
2006-2007,Matt Bonner,SAS,56,11.7
2006-2007,Josh Boone,NJN,61,11.0
2006-2007,Carlos Boozer,UTA,74,34.6
2006-2007,Chris Bosh,TOR,69,38.5
2006-2007,Bruce Bowen,SAS,82,30.1
2006-2007,Earl Boykins,MIL,66,30.8
2006-2007,Elton Brand,LAC,80,38.5
2006-2007,Ronnie Brewer,UTA,56,12.1
2006-2007,Primoz Brezec,CHA,58,14.5
2006-2007,Dee Brown,UTA,49,9.2
2006-2007,Devin Brown,NOP,58,28.7
2006-2007,Kwame Brown,LAL,41,27.6
2006-2007,P.J. Brown,CHI,72,20.2
2006-2007,Kobe Bryant,LAL,77,40.8
2006-2007,Greg Buckner,DAL,76,18.0
2006-2007,Caron Butler,WAS,63,39.3
2006-2007,Rasual Butler,NOP,81,27.4
2006-2007,Andrew Bynum,LAL,82,21.9
2006-2007,Jose Calderon,TOR,77,21.0
2006-2007,Marcus Camby,DEN,70,33.8
2006-2007,Rodney Carney,PHI,67,17.4
2006-2007,Matt Carroll,CHA,72,26.1
2006-2007,Vince Carter,NJN,82,38.1
2006-2007,Sam Cassell,LAC,58,24.3
2006-2007,Tyson Chandler,NOP,73,34.6
2006-2007,Josh Childress,ATL,55,36.8
2006-2007,Speedy Claxton,ATL,42,25.1
2006-2007,Jarron Collins,UTA,82,11.1
2006-2007,Jason Collins,NJN,80,23.0
2006-2007,Mardy Collins,NYK,52,14.9
2006-2007,Nick Collison,SEA,82,29.0
2006-2007,Brian Cook,LAL,65,15.7
2006-2007,Jamal Crawford,NYK,59,37.3
2006-2007,Austin Croshere,DAL,61,11.9
2006-2007,Eddy Curry,NYK,81,35.2
2006-2007,Samuel Dalembert,PHI,82,30.9
2006-2007,Erick Dampier,DAL,76,25.2
2006-2007,Antonio Daniels,WAS,80,22.0
2006-2007,Marquis Daniels,IND,45,17.8
2006-2007,Baron Davis,GSW,63,35.3
2006-2007,Dale Davis,DET,46,10.1
2006-2007,Ricky Davis,MIN,81,37.3
2006-2007,Carlos Delfino,DET,82,16.7
2006-2007,Luol Deng,CHI,82,37.5
2006-2007,Boris Diaw,PHX,73,31.1
2006-2007,Yakhouba Diawara,DEN,64,18.4
2006-2007,Ike Diogu,IND,59,12.9
2006-2007,DeSagana Diop,DAL,81,18.3
2006-2007,Juan Dixon,TOR,81,23.8
2006-2007,Michael Doleac,MIA,56,12.5
2006-2007,Keyon Dooling,ORL,66,21.7
2006-2007,Chris Duhon,CHI,78,24.4
2006-2007,Tim Duncan,SAS,80,34.1
2006-2007,Mike Dunleavy,IND,82,31.5
2006-2007,Monta Ellis,GSW,77,34.3
2006-2007,Francisco Elson,SAS,70,19.0
2006-2007,Maurice Evans,LAL,76,22.8
2006-2007,Reggie Evans,DEN,66,17.1
2006-2007,Daniel Ewing,LAC,61,11.7
2006-2007,Jordan Farmar,LAL,72,15.1
2006-2007,Raymond Felton,CHA,78,36.3
2006-2007,Michael Finley,SAS,82,22.2
2006-2007,Derek Fisher,UTA,82,27.9
2006-2007,T.J. Ford,TOR,75,29.9
2006-2007,Jeff Foster,IND,75,23.2
2006-2007,Randy Foye,MIN,82,22.9
2005-2006,Sasha Vujacic,LAL,82,17.7
2005-2006,Dwyane Wade,MIA,75,38.6
2005-2006,Antoine Walker,MIA,82,26.8
2005-2006,Ben Wallace,DET,82,35.2
2005-2006,Gerald Wallace,CHA,55,34.5
2005-2006,Rasheed Wallace,DET,80,34.7
2005-2006,Luke Walton,LAL,69,19.3
2005-2006,Hakim Warrick,MEM,68,10.7
2005-2006,Earl Watson,SEA,70,22.5
2005-2006,Chris Webber,PHI,75,38.6
2005-2006,Martell Webster,POR,61,17.5
2005-2006,Bonzi Wells,SAC,52,32.4
2005-2006,Jiri Welsch,MIL,58,14.9
2005-2006,David Wesley,HOU,71,33.4
2005-2006,David West,NOP,74,34.1
2005-2006,Delonte West,BOS,71,34.0
2005-2006,Chris Wilcox,SEA,77,19.9
2005-2006,Damien Wilkins,SEA,82,18.6
2005-2006,Aaron Williams,NOP,47,16.8
2005-2006,Deron Williams,UTA,80,28.8
2005-2006,Jason Williams,MIA,59,31.8
2005-2006,Marvin Williams,ATL,79,24.7
2005-2006,Mo Williams,MIL,58,26.4
2005-2006,Qyntel Woods,NYK,49,20.7
2005-2006,Metta World Peace,SAC,56,39.4
2005-2006,Lorenzen Wright,MEM,78,21.7
2005-2006,Yao Ming,HOU,57,34.2
2005-2006,Cuttino Mobley,LAC,79,37.7
2005-2006,Nazr Mohammed,SAS,80,17.4
2005-2006,Mikki Moore,SEA,47,12.4
2005-2006,Alonzo Mourning,MIA,65,20.0
2005-2006,Troy Murphy,GSW,74,34.0
2005-2006,Flip Murray,CLE,76,27.8
2005-2006,Lamond Murray,NJN,57,10.1
2005-2006,Dikembe Mutombo,HOU,64,14.9
2005-2006,Bostjan Nachbar,NJN,36,13.9
2005-2006,Eduardo Najera,DEN,64,22.6
2005-2006,Steve Nash,PHX,79,35.4
2005-2006,Jameer Nelson,ORL,62,28.8
2005-2006,Rasho Nesterovic,SAS,80,18.9
2005-2006,Andres Nocioni,CHI,82,27.3
2005-2006,Dirk Nowitzki,DAL,81,38.1
2005-2006,Jermaine O'Neal,IND,51,35.3
2005-2006,Shaquille O'Neal,MIA,59,30.6
2005-2006,Fabricio Oberto,SAS,59,8.3
2005-2006,Lamar Odom,LAL,80,40.3
2005-2006,Emeka Okafor,CHA,26,33.6
2005-2006,Mehmet Okur,UTA,82,35.9
2005-2006,Kevin Ollie,PHI,70,15.3
2005-2006,Michael Olowokandi,BOS,48,19.1
2005-2006,Greg Ostertag,UTA,60,13.5
2005-2006,Travis Outlaw,POR,69,16.7
2005-2006,Zaza Pachulia,ATL,78,31.4
2005-2006,Scott Padgett,NJN,62,11.6
2005-2006,Milt Palacio,UTA,71,19.4
2005-2006,Jannero Pargo,CHI,57,11.3
2005-2006,Smush Parker,LAL,82,33.8
2005-2006,Tony Parker,SAS,80,33.9
2005-2006,Ruben Patterson,DEN,71,25.2
2005-2006,Chris Paul,NOP,78,36.0
2005-2006,Sasha Pavlovic,CLE,53,15.3
2005-2006,Gary Payton,MIA,81,28.5
2005-2006,Kendrick Perkins,BOS,68,19.6
2005-2006,Morris Peterson,TOR,82,38.3
2005-2006,Johan Petro,SEA,68,18.9
2005-2006,Paul Pierce,BOS,79,39.0
2005-2006,Mickael Pietrus,GSW,52,22.7
2005-2006,Zoran Planinic,NJN,55,10.8
2005-2006,Scot Pollard,IND,45,17.1
2005-2006,James Posey,MIA,67,28.6
2005-2006,Tayshaun Prince,DET,82,35.3
2005-2006,Joel Przybilla,POR,56,24.9
2005-2006,Vladimir Radmanovic,LAC,77,25.6
2005-2006,Zach Randolph,POR,74,34.4
2005-2006,Theo Ratliff,POR,55,23.7
2005-2006,Michael Redd,MIL,80,39.1
2005-2006,Justin Reed,MIN,72,13.8
2005-2006,Jason Richardson,GSW,75,38.4
2005-2006,Quentin Richardson,NYK,55,26.2
2005-2006,Luke Ridnour,SEA,79,33.2
2005-2006,Bernard Robinson,CHA,66,19.7
2005-2006,Cliff Robinson,NJN,80,23.3
2005-2006,Nate Robinson,NYK,72,21.4
2005-2006,Jalen Rose,NYK,72,27.5
2005-2006,Malik Rose,NYK,72,15.5
2005-2006,Quinton Ross,LAC,67,22.6
2005-2006,Michael Ruffin,WAS,76,13.3
2005-2006,Kareem Rush,CHA,47,23.6
2005-2006,John Salmons,PHI,82,25.1
2005-2006,Brian Scalabrine,BOS,71,13.2
2005-2006,Bobby Simmons,MIL,75,33.8
2005-2006,James Singleton,LAC,59,12.8
2005-2006,Brian Skinner,POR,65,14.5
2005-2006,J.R. Smith,NOP,55,18.0
2005-2006,Joe Smith,MIL,44,20.2
2005-2006,Josh Smith,ATL,80,32.0
2005-2006,Eric Snow,CLE,82,28.7
2005-2006,Kirk Snyder,NOP,68,19.3
2005-2006,Darius Songaila,CHI,62,21.4
2005-2006,Pape Sow,TOR,42,14.0
2005-2006,Jerry Stackhouse,DAL,55,27.7
2005-2006,DeShawn Stevenson,ORL,82,32.3
2005-2006,Peja Stojakovic,IND,71,36.6
2005-2006,Damon Stoudamire,MEM,27,31.9
2005-2006,Salim Stoudamire,ATL,61,20.3
2005-2006,Mike Sweetney,CHI,66,18.5
2005-2006,Robert Swift,SEA,47,21.0
2005-2006,Stromile Swift,HOU,66,20.4
2005-2006,Wally Szczerbiak,BOS,72,37.9
2005-2006,Mo Taylor,NYK,67,18.1
2005-2006,Sebastian Telfair,POR,68,24.1
2005-2006,Jason Terry,DAL,80,35.0
2005-2006,Etan Thomas,WAS,71,15.8
2005-2006,Kenny Thomas,SAC,82,28.0
2005-2006,Kurt Thomas,PHX,53,26.6
2005-2006,Tim Thomas,PHX,29,22.9
2005-2006,Jamaal Tinsley,IND,42,26.7
2005-2006,Jake Tsakalidis,MEM,51,14.4
2005-2006,Hedo Turkoglu,ORL,78,33.5
2005-2006,Beno Udrih,SAS,54,10.8
2005-2006,Nick Van Exel,SAS,65,15.2
2005-2006,Keith Van Horn,DAL,53,20.5
2005-2006,Anderson Varejao,CLE,47,16.2
2005-2006,Jacque Vaughn,NJN,80,15.4
2005-2006,Charlie Villanueva,TOR,81,29.2
2005-2006,Jake Voskuhl,CHA,51,16.1
2005-2006,Pat Garrity,ORL,57,16.4
2005-2006,Pau Gasol,MEM,80,39.2
2005-2006,Devean George,LAL,71,21.7
2005-2006,Manu Ginobili,SAS,65,27.9
2005-2006,Gordan Giricek,UTA,37,25.8
2005-2006,Ryan Gomes,BOS,61,22.5
2005-2006,Drew Gooden,CLE,79,27.5
2005-2006,Ben Gordon,CHI,80,31.0
2005-2006,Joey Graham,TOR,80,19.8
2005-2006,Danny Granger,IND,78,22.6
2005-2006,Orien Greene,BOS,80,15.4
2005-2006,Adrian Griffin,DAL,52,24.0
2005-2006,Eddie Griffin,MIN,70,19.4
2005-2006,Richard Hamilton,DET,80,35.3
2005-2006,Matt Harpring,UTA,71,27.4
2005-2006,Al Harrington,ATL,76,36.6
2005-2006,Othella Harrington,CHI,72,11.5
2005-2006,Devin Harris,DAL,56,22.7
2005-2006,David Harrison,IND,67,15.4
2005-2006,Jason Hart,SAC,66,12.4
2005-2006,Udonis Haslem,MIA,81,30.8
2005-2006,Trenton Hassell,MIN,77,32.6
2005-2006,Chuck Hayes,HOU,40,13.4
2005-2006,Jarvis Hayes,WAS,21,24.6
2005-2006,Brendan Haywood,WAS,79,23.8
2005-2006,Luther Head,HOU,80,28.9
2005-2006,Alan Henderson,CLE,51,10.4
2005-2006,Grant Hill,ORL,21,29.2
2005-2006,Kirk Hinrich,CHI,81,36.5
2005-2006,Robert Horry,SAS,63,18.8
2005-2006,Eddie House,PHX,81,17.5
2005-2006,Dwight Howard,ORL,82,36.8
2005-2006,Josh Howard,DAL,59,32.5
2005-2006,Juwan Howard,HOU,80,31.7
2005-2006,Troy Hudson,MIN,36,22.2
2005-2006,Larry Hughes,CLE,36,35.6
2005-2006,Kris Humphries,UTA,62,10.0
2005-2006,Lindsey Hunter,DET,30,11.8
2005-2006,Steven Hunter,PHI,69,19.0
2005-2006,Andre Iguodala,PHI,82,37.6
2005-2006,Zydrunas Ilgauskas,CLE,78,29.3
2005-2006,Allen Iverson,PHI,72,43.1
2005-2006,Royal Ivey,ATL,73,13.4
2005-2006,Jarrett Jack,POR,79,20.2
2005-2006,Bobby Jackson,MEM,71,25.0
2005-2006,Jim Jackson,LAL,40,12.8
2005-2006,Marc Jackson,NOP,64,16.1
2005-2006,Stephen Jackson,IND,81,35.9
2005-2006,LeBron James,CLE,79,42.5
2005-2006,Mike James,TOR,79,37.0
